"ZIP Code","HUD Area Code","HUD Fair Market Rent Area Name","SAFMR 0BR","SAFMR 0BR - 90% Payment Standard","SAFMR 0BR - 110% Payment Standard","SAFMR 1BR","SAFMR 1BR - 90% Payment Standard","SAFMR 1BR - 110% Payment Standard","SAFMR 2BR","SAFMR 2BR - 90% Payment Standard","SAFMR 2BR - 110% Payment Standard","SAFMR 3BR","SAFMR 3BR - 90% Payment Standard","SAFMR 3BR - 110% Payment Standard","SAFMR 4BR","SAFMR 4BR - 90% Payment Standard","SAFMR 4BR - 110% Payment Standard"
"08001","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1180","1062","1298","1280","1152","1408","1550","1395","1705","1950","1755","2145","2120","1908","2332"
"08002","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1760","1584","1936","1940","1746","2134","2310","2079","2541","2780","2502","3058","3160","2844","3476"
"08003","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1980","1782","2178","2180","1962","2398","2600","2340","2860","3130","2817","3443","3560","3204","3916"
"08004","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1540","1386","1694","1710","1539","1881","2060","1854","2266","2490","2241","2739","2870","2583","3157"
"08007","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1140","1026","1254","1260","1134","1386","1500","1350","1650","1810","1629","1991","2050","1845","2255"
"08009","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1470","1323","1617","1620","1458","1782","1930","1737","2123","2330","2097","2563","2640","2376","2904"
"08010","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1450","1305","1595","1600","1440","1760","1910","1719","2101","2300","2070","2530","2620","2358","2882"
"08011","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1590","1431","1749","1750","1575","1925","2090","1881","2299","2520","2268","2772","2860","2574","3146"
"08012","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1430","1287","1573","1580","1422","1738","1880","1692","2068","2270","2043","2497","2580","2322","2838"
"08014","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1630","1467","1793","1790","1611","1969","2140","1926","2354","2580","2322","2838","2940","2646","3234"
"08015","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1360","1224","1496","1490","1341","1639","1780","1602","1958","2140","1926","2354","2440","2196","2684"
"08016","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1280","1152","1408","1410","1269","1551","1680","1512","1848","2020","1818","2222","2300","2070","2530"
"08018","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1320","1188","1452","1450","1305","1595","1730","1557","1903","2080","1872","2288","2370","2133","2607"
"08019","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","2060","1854","2266","2270","2043","2497","2700","2430","2970","3250","2925","3575","3700","3330","4070"
"08020","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1550","1395","1705","1700","1530","1870","2030","1827","2233","2450","2205","2695","2780","2502","3058"
"08021","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1380","1242","1518","1520","1368","1672","1810","1629","1991","2180","1962","2398","2480","2232","2728"
"08022","METRO37980M37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","1410","1269","1551","1550","1395","1705","1850","1665","2035","2230","2007","2453","2530","2277","2783"
