Year,zip_code,safmr_0br,safmr_1br,safmr_2br,safmr_3br,safmr_4br
2011,19102,680,780,930,1110,1320
2011,19103,940,1070,1280,1530,1820
2011,19104,680,780,930,1110,1320
2011,19106,1130,1300,1550,1860,2210
2011,19107,800,910,1090,1300,1550
2011,19111,680,780,930,1110,1320
2011,19112,680,780,930,1110,1320
2011,19114,710,810,970,1160,1380
2011,19115,720,820,980,1170,1400
2011,19116,680,780,930,1110,1320
2011,19118,900,1030,1230,1470,1750
2011,19119,680,780,930,1110,1320
2011,19120,680,780,930,1110,1320
2011,19121,680,780,930,1110,1320
2011,19122,680,780,930,1110,1320
2011,19123,680,780,930,1110,1320
2011,19124,680,780,930,1110,1320
2011,19125,680,780,930,1110,1320
2011,19126,680,780,930,1110,1320
2011,19127,770,880,1050,1260,1500
2011,19128,780,900,1070,1280,1520
2011,19129,680,780,930,1110,1320
2011,19130,890,1020,1220,1460,1740
2011,19131,710,810,970,1160,1380
2011,19132,680,780,930,1110,1320
2011,19133,680,780,930,1110,1320
2011,19134,680,780,930,1110,1320
2011,19135,680,780,930,1110,1320
2011,19136,680,780,930,1110,1320
2011,19137,700,800,960,1150,1370
2011,19138,700,800,950,1140,1350
2011,19139,680,780,930,1110,1320
2011,19140,680,780,930,1110,1320
2011,19141,680,780,930,1110,1320
2011,19142,680,780,930,1110,1320
2011,19143,680,780,930,1110,1320
2011,19144,680,780,930,1110,1320
2011,19145,680,780,930,1110,1320
2011,19146,730,840,1000,1200,1420
2011,19147,780,890,1060,1270,1510
2011,19148,680,780,930,1110,1320
2011,19149,720,830,990,1190,1410
2011,19150,680,780,930,1110,1320
2011,19151,680,780,930,1110,1320
2011,19152,680,780,930,1110,1320
2011,19153,850,970,1160,1390,1650
2011,19154,760,870,1040,1240,1480
2012,19153,820,940,1120,1370,1650
2012,19118,870,990,1190,1460,1760
2012,19128,760,870,1040,1270,1530
2012,19131,690,790,940,1150,1390
2012,19150,700,790,950,1160,1400
2012,19102,1100,1250,1500,1830,2210
2012,19103,920,1050,1250,1530,1840
2012,19104,620,710,850,1040,1250
2012,19105,670,760,910,1110,1340
2012,19106,1100,1250,1500,1830,2210
2012,19107,780,890,1060,1300,1560
2012,19109,670,760,910,1110,1340
2012,19111,640,730,870,1060,1280
2012,19112,670,760,910,1110,1340
2012,19114,690,790,940,1150,1390
2012,19115,700,790,950,1160,1400
2012,19116,650,740,890,1090,1310
2012,19118,870,990,1190,1460,1760
2012,19119,640,730,870,1060,1280
2012,19120,650,740,890,1090,1310
2012,19121,520,590,710,870,1050
2012,19122,530,600,720,880,1060
2012,19123,600,690,820,1000,1210
2012,19124,620,710,850,1040,1250
2012,19125,650,740,890,1090,1310
2012,19126,590,670,800,980,1180
2012,19127,750,850,1020,1250,1500
2012,19128,760,870,1040,1270,1530
2012,19129,820,940,1120,1370,1650
2012,19130,870,990,1190,1460,1760
2012,19131,690,790,940,1150,1390
2012,19132,590,670,800,980,1180
2012,19133,500,570,680,830,1000
2012,19134,620,710,850,1040,1250
2012,19135,660,750,900,1100,1330
2012,19136,590,670,800,980,1180
2012,19137,680,780,930,1140,1370
2012,19138,670,770,920,1130,1360
2012,19139,560,640,770,940,1140
2012,19140,550,630,750,920,1110
2012,19141,600,690,820,1000,1210
2012,19142,660,750,900,1100,1330
2012,19143,640,730,870,1060,1280
2012,19144,620,700,840,1030,1240
2012,19145,620,700,840,1030,1240
2012,19146,710,810,970,1190,1430
2012,19147,750,860,1030,1260,1520
2012,19148,610,690,830,1020,1220
2012,19149,700,800,960,1170,1420
2012,19150,700,790,950,1160,1400
2012,19151,660,750,900,1100,1330
2012,19152,650,740,890,1090,1310
2012,19153,820,940,1120,1370,1650
2012,19154,740,840,1010,1240,1490
2013,19102,1110,1300,1570,1960,2100
2013,19103,930,1100,1320,1640,1770
2013,19104,630,740,890,1110,1190
2013,19105,670,790,950,1180,1270
2013,19106,1110,1300,1570,1960,2100
2013,19107,780,920,1110,1380,1480
2013,19110,670,790,950,1180,1270
2013,19111,650,760,920,1150,1230
2013,19112,670,790,950,1180,1270
2013,19114,710,840,1010,1260,1350
2013,19115,690,810,980,1220,1310
2013,19116,660,780,940,1170,1260
2013,19118,860,1010,1220,1520,1630
2013,19119,630,750,900,1120,1200
2013,19120,660,780,940,1170,1260
2013,19121,550,650,780,970,1040
2013,19122,550,650,780,970,1040
2013,19123,630,740,890,1110,1190
2013,19124,630,740,890,1110,1190
2013,19125,680,810,970,1210,1300
2013,19126,570,670,810,1010,1080
2013,19127,780,920,1110,1380,1480
2013,19128,770,910,1100,1370,1470
2013,19129,750,890,1070,1330,1430
2013,19130,880,1040,1250,1560,1670
2013,19131,700,820,990,1230,1320
2013,19132,600,710,850,1060,1140
2013,19133,490,570,690,860,920
2013,19134,630,750,900,1120,1200
2013,19135,680,810,970,1210,1300
2013,19136,610,710,860,1070,1150
2013,19137,690,810,980,1220,1310
2013,19138,650,770,930,1160,1240
2013,19139,570,670,810,1010,1080
2013,19140,540,640,770,960,1030
2013,19141,600,710,850,1060,1140
2013,19142,670,790,950,1180,1270
2013,19143,650,760,920,1150,1230
2013,19144,630,740,890,1110,1190
2013,19145,610,720,870,1080,1160
2013,19146,700,830,1000,1250,1340
2013,19147,750,890,1070,1330,1430
2013,19148,620,730,880,1100,1180
2013,19149,720,850,1020,1270,1360
